game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022400123,1610612741,2024-25,True,240,102,54,9,45,23,6,2,15,16,36,84,0.429,13,34,0.382,17,25,0.68,3
0022400118,1610612747,2024-25,False,240,110,37,5,32,21,6,0,21,7,38,77,0.494,6,28,0.214,28,33,0.848,-24
0022400122,1610612748,2024-25,True,240,107,39,7,32,27,6,3,10,17,37,81,0.457,17,40,0.425,16,24,0.667,-9
0022400119,1610612754,2024-25,True,265,135,57,16,41,33,10,5,19,26,50,104,0.481,15,38,0.395,20,24,0.833,3
0022400125,1610612759,2024-25,False,240,93,52,13,39,22,6,6,22,8,35,85,0.412,12,36,0.333,11,13,0.846,-12
0022400121,1610612764,2024-25,True,240,133,37,6,31,32,10,5,16,21,47,89,0.528,16,38,0.421,23,25,0.92,13
0022400120,1610612765,2024-25,False,240,105,49,12,37,23,4,5,17,25,36,78,0.462,15,36,0.417,18,22,0.818,10
0022400119,1610612738,2024-25,False,265,132,51,18,33,23,11,5,14,19,44,109,0.404,19,57,0.333,25,31,0.806,-3
0022400118,1610612739,2024-25,True,240,134,36,6,30,37,14,2,12,26,56,97,0.577,17,41,0.415,5,8,0.625,24
0022400126,1610612740,2024-25,False,240,89,49,18,31,24,7,6,15,17,33,90,0.367,11,36,0.306,12,20,0.6,-15
0022400126,1610612744,2024-25,True,240,104,42,13,29,32,5,9,14,22,41,87,0.471,13,38,0.342,9,13,0.692,15
0022400127,1610612746,2024-25,True,240,105,49,13,36,26,10,5,14,19,41,90,0.456,13,36,0.361,10,18,0.556,-1
0022400124,1610612751,2024-25,False,240,119,34,8,26,27,10,2,19,25,41,80,0.513,15,41,0.366,22,25,0.88,13
0022400122,1610612752,2024-25,False,240,116,42,7,35,30,8,4,11,16,40,82,0.488,18,40,0.45,18,20,0.9,9
0022400123,1610612753,2024-25,False,240,99,42,6,36,25,9,8,12,19,35,86,0.407,11,46,0.239,18,20,0.9,-3
0022400120,1610612755,2024-25,True,240,95,37,8,29,17,7,4,9,21,33,79,0.418,8,28,0.286,21,28,0.75,-10
0022400127,1610612757,2024-25,False,240,106,47,12,35,19,9,6,13,18,41,92,0.446,14,33,0.424,10,12,0.833,1
0022400125,1610612760,2024-25,True,240,105,39,5,34,28,18,6,14,15,41,89,0.461,17,41,0.415,6,8,0.75,12
0022400117,1610612761,2024-25,False,240,133,41,13,28,37,9,5,14,25,52,91,0.571,9,28,0.321,20,30,0.667,-5
0022400124,1610612763,2024-25,True,240,106,38,12,26,27,9,3,22,21,38,81,0.469,8,27,0.296,22,29,0.759,-13
0022400117,1610612766,2024-25,True,240,138,38,14,24,31,9,8,16,24,49,94,0.521,20,45,0.444,20,25,0.8,5
0022400129,1610612742,2024-25,True,240,102,37,10,27,21,6,7,10,27,39,85,0.459,10,30,0.333,14,20,0.7,-6
0022400131,1610612756,2024-25,False,240,125,39,8,31,29,12,4,12,20,42,82,0.512,18,39,0.462,23,28,0.821,6
0022400130,1610612759,2024-25,False,240,106,42,11,31,25,17,7,11,17,38,92,0.413,12,43,0.279,18,23,0.783,18
0022400130,1610612762,2024-25,True,240,88,53,15,38,19,6,6,26,19,32,82,0.39,7,32,0.219,17,19,0.895,-18
0022400128,1610612763,2024-25,True,240,122,56,7,49,26,6,3,17,21,43,82,0.524,8,28,0.286,28,31,0.903,23
0022400129,1610612745,2024-25,False,240,108,50,18,32,21,4,4,10,20,40,97,0.412,8,34,0.235,20,27,0.741,6
0022400131,1610612746,2024-25,True,240,119,48,15,33,27,8,8,14,22,45,93,0.484,12,35,0.343,17,21,0.81,-6
0022400128,1610612749,2024-25,False,240,99,38,9,29,20,10,4,10,27,41,96,0.427,9,42,0.214,8,19,0.421,-23
0022400135,1610612737,2024-25,True,240,115,40,8,32,30,8,4,13,22,41,92,0.446,19,50,0.38,14,18,0.778,-8
0022400139,1610612743,2024-25,False,240,116,46,17,29,30,11,2,15,18,41,92,0.446,11,32,0.344,23,29,0.793,-3
0022400136,1610612751,2024-25,True,240,120,46,9,37,34,11,6,11,20,49,94,0.521,11,36,0.306,11,13,0.846,8
0022400134,1610612752,2024-25,False,240,128,45,12,33,31,16,3,10,14,52,101,0.515,18,38,0.474,6,10,0.6,30
0022400140,1610612757,2024-25,True,240,114,36,11,25,27,8,5,19,17,39,83,0.47,15,35,0.429,21,31,0.677,-23
0022400140,1610612760,2024-25,False,240,137,45,14,31,31,14,9,13,29,51,95,0.537,19,49,0.388,16,19,0.842,23
0022400132,1610612738,2024-25,False,240,124,41,11,30,21,12,5,10,13,41,86,0.477,13,42,0.31,29,35,0.829,15
0022400133,1610612739,2024-25,True,240,120,49,7,42,25,6,4,13,21,44,87,0.506,15,38,0.395,17,20,0.85,11
0022400138,1610612740,2024-25,True,240,125,46,15,31,28,8,4,8,15,49,101,0.485,12,31,0.387,15,19,0.789,7
0022400136,1610612741,2024-25,False,240,112,44,10,34,24,5,3,16,15,38,88,0.432,17,44,0.386,19,24,0.792,-8
0022400137,1610612747,2024-25,False,240,131,43,9,34,29,6,5,10,17,42,88,0.477,11,32,0.344,36,41,0.878,6
0022400139,1610612750,2024-25,True,240,119,38,8,30,34,8,9,17,22,43,83,0.518,18,42,0.429,15,18,0.833,3
0022400138,1610612754,2024-25,False,240,118,39,6,33,35,3,3,14,21,46,89,0.517,16,38,0.421,10,13,0.769,-7
0022400135,1610612758,2024-25,False,240,123,51,10,41,28,9,4,14,21,43,89,0.483,11,33,0.333,26,30,0.867,8
0022400137,1610612761,2024-25,True,240,125,44,15,29,35,4,6,11,29,52,107,0.486,10,35,0.286,11,13,0.846,-6
0022400134,1610612765,2024-25,True,240,98,38,6,32,23,6,9,22,12,41,81,0.506,11,34,0.324,5,7,0.714,-30
0022400132,1610612766,2024-25,True,240,109,42,12,30,20,5,5,16,26,42,91,0.462,19,48,0.396,6,12,0.5,-15
0022400133,1610612753,2024-25,False,240,109,39,7,32,26,10,4,14,17,41,90,0.456,11,33,0.333,16,24,0.667,-11
0022400141,1610612738,2024-25,False,240,113,44,8,36,23,4,4,15,17,36,82,0.439,16,52,0.308,25,28,0.893,10
0022400150,1610612746,2024-25,True,240,92,50,10,40,23,10,7,22,17,32,79,0.405,11,35,0.314,17,26,0.654,-13
0022400147,1610612748,2024-25,False,240,118,65,21,44,19,6,3,14,18,43,102,0.422,15,37,0.405,17,24,0.708,20
0022400142,1610612755,2024-25,True,240,107,33,8,25,22,11,5,14,19,36,89,0.404,19,46,0.413,16,20,0.8,-17
0022400149,1610612756,2024-25,True,240,103,63,13,50,29,4,8,14,10,35,93,0.376,17,52,0.327,16,22,0.727,6
0022400143,1610612761,2024-25,True,265,131,46,12,34,31,13,3,19,25,46,95,0.484,17,37,0.459,22,31,0.71,3
0022400142,1610612763,2024-25,False,240,124,52,11,41,35,9,6,17,22,48,87,0.552,12,27,0.444,16,21,0.762,17
0022400147,1610612764,2024-25,False,240,98,44,8,36,23,12,10,12,22,38,91,0.418,7,35,0.2,15,21,0.714,-20
0022400141,1610612766,2024-25,True,240,103,34,7,27,24,10,1,13,25,40,91,0.44,17,42,0.405,6,9,0.667,-10
0022400145,1610612739,2024-25,False,240,114,45,10,35,31,3,2,7,20,44,91,0.484,15,38,0.395,11,15,0.733,1
0022400144,1610612744,2024-25,False,265,127,47,9,38,26,5,4,14,22,40,78,0.513,15,32,0.469,32,50,0.64,6
0022400144,1610612745,2024-25,True,265,121,49,18,31,27,10,6,11,32,44,107,0.411,15,45,0.333,18,24,0.75,-6
0022400145,1610612749,2024-25,True,240,113,45,10,35,24,3,3,13,23,43,89,0.483,18,39,0.462,9,15,0.6,-1
0022400146,1610612750,2024-25,False,240,103,32,6,26,21,7,2,13,16,39,82,0.476,11,37,0.297,14,20,0.7,-10
0022400149,1610612757,2024-25,False,240,97,56,14,42,17,10,5,6,18,37,111,0.333,14,43,0.326,9,11,0.818,-6
0022400143,1610612758,2024-25,False,265,128,49,15,34,21,16,3,18,22,46,100,0.46,10,40,0.25,26,32,0.813,-3
0022400146,1610612759,2024-25,True,240,113,44,7,37,32,6,5,13,16,43,83,0.518,13,42,0.31,14,17,0.824,10
0022400150,1610612760,2024-25,False,240,105,41,3,38,25,11,3,12,22,36,84,0.429,16,39,0.41,17,19,0.895,13
0022400148,1610612762,2024-25,False,240,103,39,8,31,24,7,8,24,22,32,77,0.416,13,42,0.31,26,31,0.839,-26
0022400148,1610612743,2024-25,True,240,129,52,19,33,33,14,1,18,25,48,99,0.485,16,32,0.5,17,23,0.739,26
0022400153,1610612742,2024-25,True,240,108,53,12,41,25,8,5,19,22,42,85,0.494,10,32,0.313,14,23,0.609,23
0022400153,1610612753,2024-25,False,240,85,43,13,30,19,8,4,15,22,31,93,0.333,8,41,0.195,15,19,0.789,-23
0022400152,1610612737,2024-25,False,240,126,41,10,31,29,10,3,16,17,50,88,0.568,15,36,0.417,11,12,0.917,15
0022400152,1610612740,2024-25,True,240,111,43,18,25,22,6,3,18,16,39,90,0.433,16,38,0.421,17,20,0.85,-15
0022400151,1610612751,2024-25,True,240,92,27,4,23,23,9,3,14,24,32,71,0.451,9,31,0.29,19,31,0.613,-14
0022400151,1610612765,2024-25,False,240,106,47,9,38,25,4,6,21,25,37,77,0.481,11,36,0.306,21,26,0.808,14
0022400157,1610612738,2024-25,False,240,123,50,11,39,27,15,7,13,14,48,99,0.485,18,55,0.327,9,13,0.692,30
